course_name,price,duration,description
Systems Administrator IV,945,3,Non-slip mat designed for yoga and fitness exercises.
Structural Analysis Engineer,905,3,Rechargeable water flosser for dental hygiene.
Financial Advisor,983,3,"Bartender kit with shaker, jigger, and strainer."
Assistant Manager,691,3,Large inflatable pool for summer fun in your backyard.
Software Test Engineer III,527,12,Compact hose reel to keep your garden tidy.
Analyst Programmer,803,1.5,High-frequency whistle for training your dog effectively.
Chief Design Engineer,574,12,8oz water bottle with built-in filter for clean drinking water.
Legal Assistant,914,3,Large electric griddle for family meals.
General Manager,624,3,"Synthetic crab meat sticks, great for salads and sushi."
General Manager,27,3,Stackable steamers for healthy cooking of vegetables and seafood.
Research Assistant II,600,3,Creamy ice cream with refreshing mint flavor and chocolate chips.
Product Engineer,835,3,Eco-friendly electric bike with a 30-mile range.
Nurse,778,3,"Organize travel documents, passport, and cards."
Dental Hygienist,732,3,Durable cable for connecting devices with high-definition video.
Help Desk Technician,500,3,"Concentrated tomato paste, great for sauces."
Graphic Designer,750,5.5,Tofu stir-fried with fresh vegetables in teriyaki sauce.
Desktop Support Technician,265,1.5,Comfortable and adjustable harness for dogs.
Programmer I,12,1.5,Healthy energy bites made with oats and natural sweeteners.
Product Engineer,676,9.5,"Fresh baby spinach leaves, great for salads and smoothies."
Structural Engineer,312,4.5,"Lightly salted rice cakes, perfect for a healthy snack."
Staff Scientist,970,15,Ready-to-bake cookie dough packed with chocolate chips.
Administrative Officer,569,3,Monthly subscription for freshly roasted coffee delivered to your door.
Social Worker,360,3,Crunchy granola clusters mixed with nuts and honey.
Paralegal,627,1.5,Educational robotics kit for building and programming.
Speech Pathologist,343,3,Complete set for grilling and tailgating fun.
Staff Accountant III,200,3,"Bell peppers stuffed with rice, beans, and spices, ready to bake."
Civil Engineer,874,3,Versatile canvas sneakers suitable for everyday wear with a comfortable fit.
Design Engineer,132,25,Non-toxic traps for catching household pests safely.
Analyst Programmer,173,5,"Wide range of flavored wings, perfect for parties or casual snacking."
Senior Cost Accountant,558,3,A soothing tea blend with turmeric and ginger for wellness.
Tax Accountant,157,11,Cordless handheld vacuum for quick cleanups.
Dental Hygienist,797,3,"A zesty salad with black beans, corn, and chipotle dressing."
Software Engineer III,851,3,Classic V-neck sweater crafted from soft wool for warmth and style.
Programmer Analyst I,416,11,Set of ceramic knives for precision slicing.
Help Desk Operator,969,3,Flexible tray for easy-release ice cubes.
Senior Financial Analyst,198,3,All-in-one art set for kids to unleash creativity.
Senior Financial Analyst,822,3,Rich chocolate protein powder for smoothies and baking.
Systems Administrator IV,634,3,Quality scissors designed for easy pet grooming.
Software Engineer I,616,1.5,Light and fluffy popcorn coated in sweet honey butter.
Developer I,972,3,Non-contact thermometer for quick and easy temperature readings.
Community Outreach Specialist,148,4,"Crispy baked radish chips, a healthy snack alternative."
Environmental Specialist,946,3,Salty pretzels filled with creamy peanut butter.
Electrical Engineer,499,3,Precision digital scale for accurate cooking measurements.
Senior Financial Analyst,396,3,Countertop compost bin for kitchen waste.
Software Consultant,220,4.5,"Floral and refreshing herbal tea, great hot or iced."
Developer I,359,3,Reusable straws that come with a cleaning brush.
Human Resources Assistant III,791,3,"Crunchy chips made from blue corn, perfect for dipping."
Structural Engineer,169,11,Everything you need to create a hearty beef stroganoff.
Research Assistant I,171,12,Elegant glass teapot for brewing loose tea.
Software Engineer I,589,1.5,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course."
Senior Editor,57,5,Planters with a self-watering feature for easy care.
Chief Design Engineer,290,3,Flavorful rice mix with saffron and spices.
Teacher,864,3,"A nutrient-packed salad mix with kale, quinoa, and a lemon vinaigrette, ready to eat."
Community Outreach Specialist,98,4.5,Durable bag for carrying your yoga mat and accessories.
Technical Writer,917,1.5,Convenient strap for carrying yoga mats to class.
Software Engineer IV,538,1.5,Adjustable shelving unit for home or garage storage.
Quality Control Specialist,324,12.5,"Tangy goat cheese infused with herbs, perfect for snacking."
Senior Cost Accountant,785,1.5,Soft and chewy bar packed with protein and cinnamon flavors.
Chief Design Engineer,828,3,"Essential cotton tank top, perfect for layering."
Financial Advisor,902,3,Stabilizer for smooth video recording with smartphones.
Senior Sales Associate,797,3,"Marinated chicken skewers with lemon and dill flavor, grilled to perfection."
Sales Representative,761,3,"A zesty salsa made with peaches and mangos, great for chips."
Civil Engineer,827,3,Compact blender that comes with travel cups for smoothies.
Nurse Practicioner,452,12,Lightweight tripod designed for smartphone photography.
Internal Auditor,419,6,Lightweight yoga mat for practicing on the go.
Senior Sales Associate,775,1.5,Compact ice maker for creating ice at home or in offices.
Senior Financial Analyst,959,3,Citrusy lemons perfect for drinks and cooking.
Community Outreach Specialist,419,3,"Smart tailored dress pants, perfect for work or formal events."
Community Outreach Specialist,717,21,Delicious muffins filled with apples and a hint of cinnamon for breakfast.
Environmental Tech,386,3,Sweetened powder for refreshing lemonade.
GIS Technical Architect,490,3,Heavy-duty rake with adjustable width for different gardening needs.
Paralegal,145,3,Connect your phone to the car's audio system via Bluetooth.
Operator,859,1.5,Creamy tahini made from ground sesame seeds.
Account Representative III,628,1.5,Rich chocolate syrup for ice cream or beverages.
VP Product Management,315,6,"Light and crispy rice cakes, a perfect low-calorie snack."
Staff Scientist,805,4,Set of resistance bands for versatile strength training workouts.
Assistant Media Planner,80,3,"A mix of strawberries, blueberries, and raspberries, great for smoothies or desserts."
VP Marketing,795,16,Compact coffee grinder for fresh ground coffee beans.
Programmer III,525,3,Warm oatmeal flavored with apple and cinnamon.
Systems Administrator I,622,3,Compact air fryer for healthier cooking.
Editor,387,1.5,A warm and sustainable wool scarf for chilly days.
Web Designer III,981,4,Roasted almonds coated in a sweet maple and cinnamon mixture.
Actuary,543,4,Compact hand mixer for easy baking.
Database Administrator III,757,3,"Crispy mini pretzels, a great snack any time of day."
Graphic Designer,506,1.5,"A frozen pizza topped with fresh mozzarella, tomatoes, and basil."
Office Assistant III,144,4.5,Comfortable and breathable backpack for carrying small pets.
Legal Assistant,918,1.5,Stainless steel measuring spoons set for cooking.
Executive Secretary,804,3,Bluetooth speakers with excellent sound quality.
Operator,659,3,Lint roller designed specifically for removing pet hair from furniture.
Programmer Analyst III,860,1.5,Reusable whiteboard for notes and reminders with magnetic backing.
Computer Systems Analyst I,99,1.5,Portable coffee maker for rich brews on the go.
Account Coordinator,593,4,Portable bed for pets while traveling.
Quality Engineer,993,3,Water-resistant activity tracker and smartwatch features.
General Manager,104,1.5,Lightweight and portable folding table for camping or picnics.
Data Coordinator,442,3,"Spicy and flavorful soup made with black beans, perfect as a meal or starter."
General Manager,351,4,Set of roller bottles for blending and applying essential oils.
Sales Representative,917,3,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish."
Help Desk Operator,672,10,Compact yoga mat that folds for easy storage and transport.
Account Representative I,304,3,Stylish and modern holder for storing wine bottles on walls.
Developer III,299,1.5,Elevated planter box for growing herbs or small plants easily.
Editor,829,4,Nutritious organic quinoa for salads or sides
Media Manager III,696,4,Delicious cookies with cranberries and almonds in every bite.
Analyst Programmer,784,3,"Farm fresh eggs, essential for breakfast."
Assistant Professor,512,3,"Aromatic long-grain basmati rice, perfect for curries."
VP Product Management,648,3,Retro-style graphic tee with a soft wash for a vintage feel.
Financial Advisor,252,3,Non-stick baking mat for easy cooking and cleanup.
Pharmacist,751,1.5,A warm and sustainable wool scarf for chilly days.
Marketing Assistant,385,4,Soft and strong toilet paper for everyday use.
Geologist III,550,1.5,Portable rechargeable warmer for cold days.
Financial Advisor,470,3,Comfortable pet carrier for travel and vet visits.
Software Consultant,59,3,"Super soft fleece blanket, perfect for coziness."
Teacher,773,3,"Sweet bread with cinnamon and raisins, great for breakfast or snacks."
Junior Executive,34,3,Durable non-stick frying pan for easy cooking and cleaning.
Human Resources Assistant I,346,10,A wholesome granola with bits of apple and a touch of cinnamon.
Administrative Assistant III,587,12,Automatic water fountain for pets with filtration.
Senior Cost Accountant,654,3,Rich and creamy pudding made with ripe avocados and cocoa.
Compensation Analyst,43,3,Non-stick surface for easy cooking and cleaning.
Marketing Assistant,142,3,A casual striped long sleeve shirt that's perfect for layering.
Physical Therapy Assistant,226,4,Rich coconut milk for curries and desserts.
Assistant Professor,26,3,A spicy marinade perfect for chicken and fish.
Tax Accountant,52,4,Wi-Fi enabled doorbell with HD camera and two-way audio.
Accounting Assistant III,427,3,Compact organizer for cosmetics during travel.
Information Systems Manager,29,3,Mixed fresh vegetables for stir-frying or roasting.
Staff Scientist,179,3,A crunchy collection of flavored kettle chips in a convenient pack.
Budget/Accounting Analyst II,331,3,Lightweight and portable swing hammock for relaxing outdoors.
Help Desk Operator,507,1.5,Compact electric scooter for commuting and short trips.
Design Engineer,569,11,"Sweet and savory carrots glazed in honey, perfect as a side dish."
Assistant Professor,746,4,"High-protein pasta made from black beans, gluten-free."
Nurse Practicioner,640,3,"Marinated chicken breast seasoned with herbs, ready for grilling."
Sales Representative,279,3,Complete set for garden care with a handy carrying bag.
VP Product Management,692,3,"Fresh baby spinach leaves, great for salads and smoothies."
Health Coach III,665,1.5,Compact scooper for easy waste clean-up during walks.
Speech Pathologist,106,3,A refreshing sparkling beverage with a bold blood orange flavor.
Desktop Support Technician,288,3,"Ready-to-eat salad with kale, lemon, and cheese."
Analyst Programmer,818,1.5,A comforting soup filled with chicken and noodles in broth.
Engineer II,736,20,Large electric griddle for family meals.
Chief Design Engineer,367,3,Tender chicken coated in a sweet and savory honey garlic sauce.
Electrical Engineer,218,3,Crunchy granola made with organic oats
Assistant Professor,611,21,Non-slip mat designed for yoga and fitness exercises.
Environmental Tech,230,4,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook."
Nurse Practicioner,125,3,Creamy and crumbly cheese for salads and dishes.
Account Coordinator,355,3,Hearty tomato soup made from organic ingredients.
GIS Technical Architect,392,3,"Sweet relish made from cucumbers, perfect for sandwiches."
Structural Analysis Engineer,56,1.5,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook."
Compensation Analyst,874,1.5,Fresh sliced bell peppers for salads or stir-fries.
Analog Circuit Design manager,866,3,Natural elderberry syrup to boost immunity.
VP Accounting,256,12,"Creamy dip made with caramelized onions, perfect for chips or veggies."
Analog Circuit Design manager,964,5,Automatic water fountain for pets with filtration.
Data Coordinator,506,1.5,Creamy risotto infused with wild mushrooms.
Assistant Media Planner,958,5,Electric food steamer for healthy cooking.
Marketing Manager,444,3,Small fridge designed to keep skincare products cool and fresh.
VP Quality Control,564,3,Pancake mix infused with seasonal pumpkin spice flavor.
Geological Engineer,714,1.5,"Soft, cuddly toy that interacts with children."
VP Marketing,30,1.5,"Lightly salted rice cakes, perfect for a healthy snack."
Senior Sales Associate,71,3,Convert your desk to a standing desk easily.
Structural Analysis Engineer,542,12.5,Challenging 1000-piece jigsaw puzzle for all ages.
Assistant Professor,111,3,High-quality whole wheat flour for baking and cooking.
Quality Control Specialist,656,3,"Sliced black olives, perfect for salads and pizzas."
Assistant Professor,199,4,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying."
Mechanical Systems Engineer,133,4,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken."
Programmer Analyst II,789,3,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer."
Senior Sales Associate,171,1.5,Flexible light strips for creative home decor.
Budget/Accounting Analyst III,308,4,A tailored slim fit shirt for a polished look at work.
Financial Analyst,113,2.5,A staple v-neck t-shirt that pairs well with anything.
Web Developer III,786,3,Classic ranch dressing for salads and dipping.
Engineer III,700,3,Non-stick utensils for safe and easy cooking.
Payment Adjustment Coordinator,289,11,Comfortable slim fit chinos for a polished look.
Senior Editor,23,5.5,Variety of bands suitable for all fitness levels.
Occupational Therapist,892,3,A healthy mix of assorted dried fruits and nuts for snacking.
Environmental Tech,227,3,Refreshing juice blend made with various fresh fruits.
Business Systems Development Analyst,878,3,Manual pasta maker for homemade pasta.
Statistician I,507,3,"Soft and fresh sliced bread, perfect for sandwiches."
Librarian,637,3,Flavored aioli made with roasted garlic
Executive Secretary,62,4,Durable apron to keep clothes clean while cooking.
Account Coordinator,834,4,A classic denim jacket that never goes out of style.
Social Worker,288,3,Tender chicken coated in a sweet and savory honey garlic sauce.
Assistant Professor,967,3,Bell peppers filled with quinoa and vegetables.
Human Resources Manager,959,3,Multifunctional smartwatch for fitness tracking.
Financial Advisor,739,4,"Savory, roasted nuts seasoned with garlic and parmesan."
Senior Sales Associate,64,4,Stability ball for Pilates and yoga workouts.
Tax Accountant,125,1.5,A tangy and spicy BBQ sauce that's perfect for grilling.
VP Product Management,802,1.5,All ingredients included for delicious chicken fajitas.
Graphic Designer,120,3,Efficient juicer for fresh fruit and vegetable juices.
Graphic Designer,603,3,Lentils cooked in a coconut curry for a hearty meal.
VP Quality Control,445,3,Fun gardening tools designed specifically for kids.
Food Chemist,597,1.5,"Creamy ice cream made with real vanilla beans, perfect for desserts."
Nurse Practicioner,23,5,Set of decorative cushion covers for home decor.
Community Outreach Specialist,31,6,Durable yoga strap for deeper stretches.
Operator,956,3,A warm and stylish puffer coat perfect for winter weather.
VP Quality Control,176,3,Compact electronic drum kit for musicians of all levels.
Safety Technician IV,638,1.5,A warming blend of ginger and turmeric for lattes.
Physical Therapy Assistant,354,3,"Ready-to-eat avocado slices, perfect for tacos."
Accounting Assistant IV,294,3,A refreshing salad made with quinoa and seasonal veggies.
Account Coordinator,651,4,"Fresh basil pesto, perfect for pasta or as a sandwich spread."
Tax Accountant,462,2.5,Floating lounger for relaxation in swimming pools or lakes.
Health Coach IV,100,6,Fun robot that engages kids with games and activities.
Software Consultant,676,3,Tidy storage solution for rechargeable batteries.
Web Designer I,200,4,"Rich and creamy ice cream, available in various flavors."
Biostatistician II,387,3,Creamy honey mustard sauce for dipping or dressing.
Help Desk Operator,410,12,All-in-one kit for growing herbs in your kitchen.
Social Worker,351,4,Nostalgic clock that adds charm to any room.
Information Systems Manager,649,3,Convenient charging stand for smartphones and devices.
VP Quality Control,692,3,"Easy-to-prepare rice with cilantro and lime flavors, great as a side."
Database Administrator II,711,1.5,Compact pump ideal for inflating sports equipment or rafts.
Chief Design Engineer,622,5,Spicy blue cheese with a hint of buffalo flavor.
Senior Developer,322,4.5,"A hearty salad with lentils, veggies, and curry dressing."
Account Executive,10,1.5,Essential ingredient for baking fluffy cakes and pastries.
Design Engineer,74,3,Wi-Fi-enabled digital frame for displaying photos.
Professor,265,3,All ingredients included for delicious chicken fajitas.
Social Worker,179,3,Marinated chicken skewers infused with traditional tandoori spices.
Professor,787,1.5,Ultrasonic essential oil diffuser with LED lights.
Research Assistant III,236,4,Crispy dill pickles that are perfect for snacking or sandwiches.
Clinical Specialist,476,5,Control home appliances remotely using your smartphone app.
Occupational Therapist,976,3,A refreshing sparkling beverage with a bold blood orange flavor.
Nurse,177,3,Organize coffee capsules with this stylish dispenser.
Senior Quality Engineer,814,4,"A fresh salad made with black beans, corn, and a zesty dressing, great for summer cookouts."
